mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.253958781560262,1.4232454110169488,0.8103724320729574,0.9502212152026597,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.8185654008438819,0.8059071729957806,0.8005944994031369,0.01725594260566871,16
0.25945083300272626,0.02614213412189225,0.04730757077534994,0.009284547572824615,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,17
0.3347429434458415,0.005555330753662577,0.049287637074788414,0.0009362576951012451,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7890295358649789,0.810126582278481,0.792155680837736,0.013578081302569215,17
0.4402649402618408,0.011740272892232312,0.061272382736206055,0.00041519772406169354,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7773109243697479,0.7805907172995781,0.810126582278481,0.7893427413159356,0.014757264748430948,20
0.5621225833892822,0.05258661642089963,0.07050863901774089,0.003119048338463801,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7773109243697479,0.7890295358649789,0.8059071729957806,0.7907492110768358,0.011737527309053804,19
0.1273972988128662,0.003925147641929453,0.027873992919921875,0.00023652541018095234,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8109243697478992,0.8185654008438819,0.8227848101265823,0.8174248602394544,0.004908709005216155,12
0.22599395116170248,0.005170939113812532,0.038967291514078774,0.0008859487329203817,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8109243697478992,0.8185654008438819,0.8227848101265823,0.8174248602394544,0.004908709005216155,12
0.33388233184814453,0.01099983738172836,0.049741665522257485,0.0011707383609130767,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8109243697478992,0.8185654008438819,0.8016877637130801,0.8103925114349537,0.006900522382570804,15
0.44794654846191406,0.009489881124096941,0.0627278486887614,0.0021353335883179817,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.8109243697478992,0.8185654008438819,0.810126582278481,0.813205450956754,0.0038040253509479065,14
0.531341552734375,0.0019029309551877632,0.07144689559936523,0.0007444865896140357,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.8235294117647058,0.8185654008438819,0.8227848101265823,0.8216265409117233,0.002185793797240491,11
0.13129059473673502,0.008728690944110213,0.02789306640625,0.00033911336501857563,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8277310924369747,0.8312236286919831,0.8270042194092827,0.8286529801794136,0.0018417856246911856,2
0.2373521327972412,0.003943625163989722,0.04035186767578125,0.0011320244692762205,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8151260504201681,0.8270042194092827,0.8270042194092827,0.8230448297462445,0.005599422560188483,9
0.3401495615641276,0.0013832259746637656,0.05158297220865885,0.0016499992142337062,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,4
0.4738623301188151,0.025517914326542556,0.07080316543579102,0.010879625665463875,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,7
0.5593317349751791,0.0136808287668122,0.07384037971496582,0.0014782660605761673,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,7
0.13300307591756186,0.004463624867089227,0.03227647145589193,0.005756793358245155,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8235294117647058,0.8227848101265823,0.8312236286919831,0.8258459501944238,0.003814723879671851,5
0.24164708455403647,0.003097703797073769,0.040508111317952476,0.00045070749482184393,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8235294117647058,0.8312236286919831,0.8227848101265823,0.8258459501944238,0.003814723879671851,5
0.3404390811920166,0.005620353751989413,0.05349326133728027,0.0028169887721269365,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8270042194092827,0.8216324504485338,0.00381114271382519,10
0.4482710361480713,0.0023638078610295414,0.06269351641337077,0.0004817078238353659,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8235294117647058,0.8270042194092827,0.8396624472573839,0.8300653594771242,0.006932851382522248,1
0.5502519607543945,0.004518315177207245,0.07426897684733073,0.0015927609797945096,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.8235294117647058,0.8185654008438819,0.8396624472573839,0.8272524199553238,0.009006180630874995,3
